inferenced;title;url;discipline;learningResourceType;systematics;discipline systematics;words primary
True;Vokabeln Englisch Küchenzubehör-Küchenverben;https://www.tutory.de/bereitstellung/dokument/384a3ed3-0b90-4e4d-beeb-3967024421b7;Englisch;;Spielfilm, Großbritanniens und Irlands, Bilingualer Unterricht, Englisch, Andere englischsprachiger Länder, Nordamerikas, Sprachliche Fertigkeiten, Küche, Nordamerika, Andere englischsprachige Länder, Australien, Neuseeland, Großbritannien, Irland;GRUNDSCHULE, FREMDSPRACHEN, BERUFLICHE BILDUNG;;
False;Reflexiv- oder Personalpronomen?;https://www.tutory.de/bereitstellung/dokument/51f939d5-f823-42a5-8a2d-1bd572e59e3d;;;;;;
False;Reflexiv- oder Personalpronomen?;https://www.tutory.de/bereitstellung/dokument/e03c23ec-421c-4d51-8be8-7504a71cda60;;;;;;
False;Reflexiv- oder Personalpronomen?;https://www.tutory.de/bereitstellung/dokument/8fbe61ab-fb28-41ff-b7a6-e5957f8160a2;;;;;;
False;Reflexiv- oder Personalpronomen?;https://www.tutory.de/bereitstellung/dokument/64454c79-5fd1-48f9-87a9-5b18e3e380ff;;;;;;
True;Lernhilfe rationale Zahlen;https://www.tutory.de/bereitstellung/dokument/fbc8189b-3969-4521-aba9-b29bc06a6cd4;;;Zahlen, Grundrechenarten, Zahlen, Algebra;MATHEMATIK, GRUNDSCHULE;;
True;Übung Zitiertechniken;https://www.tutory.de/bereitstellung/dokument/b4f3cfd7-f1ec-4232-a1c2-11ec4594f545;;Übung;Naturwissenschaft und Technik, Mathematik, Technik, Naturwissenschaften, Techniken, Techniken, Werkstoffe;DEUTSCH, PRAXISORIENTIERTE FÄCHER, BILDENDE KUNST, ELEMENTARBEREICH, VORSCHULERZIEHUNG;;
True;Übung Zitiertechniken;https://www.tutory.de/bereitstellung/dokument/e34edf8c-65cd-497b-b24e-b94c6802b8f7;;Übung;Naturwissenschaft und Technik, Mathematik, Technik, Naturwissenschaften, Techniken, Techniken, Werkstoffe;DEUTSCH, PRAXISORIENTIERTE FÄCHER, BILDENDE KUNST, ELEMENTARBEREICH, VORSCHULERZIEHUNG;;
True;Mangelernährung;https://www.tutory.de/bereitstellung/dokument/e31ee34e-01cc-4989-ac7b-81f51b7a6c0c;;;Ernährung, Ernährung;GESUNDHEIT, BERUFLICHE BILDUNG;;
True;Globalgeschichtliche Perspektiven;https://www.tutory.de/bereitstellung/dokument/0a8499ee-fe83-416a-9854-94e701d86904;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
True;Suchgitter Optik;https://www.tutory.de/bereitstellung/dokument/70a55274-c7c0-4ea1-a8a6-53d9003a2269;;;Optik, Farbenlehre;BERUFLICHE BILDUNG;;
False;Zwischenkriegszeit;https://www.tutory.de/bereitstellung/dokument/8066456b-fb61-4a9c-a673-30f215ea9fa7;;;;;;
