URL;NAME;TEACHER_OVERVIEW;TEACHER_MATERIALS;TEACHER_LESSON_PREPARATION;GRADE_SUBLEVELS;SUBJECTS;EDUCATIONAL_USE;LANGUAGES;KEYWORDS;LICENSE_URL;LICENSE_TITLE;PROVIDER;PROVIDER_SET;MATERIAL_TYPES;PRIMARY_USER;CREATE_DATE
https://oercommons.org/courseware/lesson/10121/overview;Leveraging Virtual Reality in a School Library;"<p>The module asks students to think beyond their current experiences in school libraries. &nbsp;We will look at content that is not specific to&nbsp;school, yet it will be the basis for discussions about how it might apply in future school library environments.&nbsp;You will ask your students to &quot;think out of the box&quot; for the moment then consider those futurist ideas when&nbsp;planning a space for today while knowing the space &nbsp;should be flexible enough to accommodate futuristic&nbsp;possibilities.&nbsp;</p>";"<p>McGonigal, Jane.&nbsp;<em>Reality Is Broken: Why Games Make Us Better and How They Can Change the World</em>. First ed. New York, NY: Penguin Group, 2011. Print.</p>";"<p><strong>Leveraging Virtual Reality in a School Library</strong></p><p>This module explores libraries and virtual reality.&nbsp; Recently our focus has been on how we can make the physical school library a &ldquo;cool place&rdquo; for students to gather, collaborate and create.&nbsp; It is now time to consider a cool virtual place with the same goal of students coming together, collaborating and creating.&nbsp; &nbsp;Our thoughts and insights into new concepts for libraries are limited by our experiences.&nbsp;&nbsp; If we are to envision unique, future school library spaces we must move away from the realm of our experience and comfort. &nbsp;We should start to consider possibilities that will align with the world the current generation will experience.</p>";graduate-professional;information-science;professional-development;en;Gaming|Hologram|Virtual Reality;http://creativecommons.org/licenses/by-sa/4.0/;cc-by-sa;;;Module;student|teacher;2016-08-04T16:12:57
https://oercommons.org/courseware/lesson/10495/overview;Planning for Innovation: Renaissance or Renovation;"<p>In the third module we will consider tools for students to use to plan new school library spaces.&nbsp; This module along with Module 4 will expose students to structured ways to develop new ideas for not just renovating space but taking it in new directions. &nbsp; These modules are transitional, a way to move toward renaissance rather than mere renovation.&nbsp; Hopefully, they will provide a framework to explore ideas beyond their experience and the experiences of other planning team members. &nbsp;</p><p>After critically evaluating the advantages and limitations of either a Learning Commons or a Maker Space and considering futuristic ideas, let&rsquo;s focus on what might be an interim solution.&nbsp; What might be an affordable alternative that school libraries could be considering to enrich progressive, alternative educational models? &nbsp; We need to consider how to embed inquiry into new learning models while maximizing the space, the resources and the mentoring skills of a trained librarian.&nbsp;</p><p>The goal of Modules 3 and 4 are to provide students with objective ways to step away from their preconceived library space designs and think about new concepts based on the user. &nbsp; We have moved space planning from a focus on housing the physical content to planning around the learning activities such as collaboration or team projects.&nbsp; The next logical step is to take a humanistic approach; planning for users.</p><p>&nbsp;</p>";"<p>Csikszentmihalyi, Mihaly.&nbsp;<em>Flow</em>. Second ed. New York, NY: Harper Perennial, 2008. Print.</p><p>Stroh, David P.&nbsp;<em>System Thinking for Social Change</em>. First ed. White River Junction, Vermont: Chelsea Green Publishing, 2015. Print.</p><p>Sullivan, Margaret L.&nbsp;<em>Library spaces for 21st-Century Learners, A Planning Guide for Creating New School Library Concepts</em>. First ed. Chicago, IL: American Association of School Librarians, 2013. Print.&nbsp;</p><p>&nbsp;</p>";"<p>Encourage your students to forget their previous views or biases about the nature and definition of a school library.&nbsp; In this module they should be neutral on whether a Learning Commons or Maker Space is the obvious solutions to space planning.&nbsp; They may decide that those are the models they want to explore as a library renovation but try to encourage them to come to that conclusion after working through a process focused on their students, how they want to work, and how they will want to work in the future.&nbsp; &nbsp;</p><p>In my OER Course Cognitive STEAM: Environments you can use the material on AEIOU Observation to introduce students to the skill of observing and taking notes on users within a library or other social environments that are frequented by their students.&nbsp; I also elaborate on this process in chapter 5 of my book, Library Spaces for 21<sup>st</sup> Century Learners. &nbsp; The OER Course or my book provide insight into developing a needs assessment document and translating those ideas into zone plans.&nbsp; Needs assessment documents along with a zone plan are standard tools they should be comfortable using to facilitate space planning discussions with an architect or interior designer. &nbsp; But in this course we are going to think of zone plans as maps not destinations.&nbsp; Zones are not spaces but rather an organizational tool for thinking through the planning process.&nbsp; In this course we will blur the edges of zones because they are based on activities not the people using the space. &nbsp;</p><p>Incorporating AEIOU observations into the needs assessment will enrich the document with examples of how the users are currently engaged in the space, how they modify the space to their needs and what existing furniture and equipment is being used most frequently and effectively. &nbsp;</p><p>If students are not using the library then they must go out and make observations where students are gathering, why those spaces work better than the library, what tools are leveraged, and how students demonstrate knowledge. &nbsp; It is also important to understand whether instructors use inquiry based learning skills in the classroom.&nbsp; If not, then they need to market inquiry based learning, suggest collaboration to integrate it into the curriculum and evaluate student results together. &nbsp; &nbsp;</p><p>Meaningful conversations with fellow instructors during the observation phase will help them select a team of collaborators to work on a needs assessment document for going forward. &nbsp; They can help the librarian determine what questions need to be asked about the nature of a future library.&nbsp; They can create excitement about possible changes to curriculum based on the new environments.&nbsp; &nbsp; They are stakeholders in this endeavor along with students, their parents and school administrators.&nbsp; All the stakeholders should be involved in developing a needs assessment document. &nbsp; Selecting an appropriate sized group that is representative of a majority of stakeholders is critical.&nbsp; They want divergent thinkers willing to offer opinions and be risk takers.&nbsp; They also want stakeholders who will ask their peers for insight to expand their personal views.&nbsp;</p><p>In this module you should also address some of the issues that a major renovation will require.&nbsp; Feasibility and viability issues like funding, technical infrastructure and human resources should all be addressed, documented and placed on a sidebar for later.&nbsp; These issues can be overwhelming and put a &ldquo;black hat&rdquo; on creativity so no new ideas are even explored.&nbsp; There are always numerous reasons why something new, innovative &ldquo;can&rsquo;t be done&rdquo; so spend some time letting people fill up a flip chart sheet with them.&nbsp; Then, decide as a group that they will not stop the planning process.&nbsp; After the group creates a compelling plan then the obstacles can be may efficiently addressed.&nbsp; The supporting arguments for change will emerge during the process, especially if the key driving factor is student learning.&nbsp;</p><p>In this module we are becoming social anthropologists studying our past for clues on how to make improvements for the future. &nbsp; The major obstacle they will all face is how to leave personal biases behind, acknowledge what your experiences tell you a school library or learning environment is.&nbsp; Hopefully, the group will include enough diverse experiences from invested stakeholders to suggest there can be more options than a single, traditional space.&nbsp; You also want to explore unique options specifically for your school for spaces, like a learning studio.&nbsp; &nbsp; The key question the students need to address is this: if you have never experienced an alternative environment, how would you know how to create it?&nbsp; Our experiences drive our knowledge and expectations; they also fuel opposition to innovative ideas.&nbsp; So lets find out what opportunities are hidden within your planning team.&nbsp;</p><p>&nbsp;</p>";graduate-professional;information-science;professional-development;en;AEIOU|Flow|Personal Bias|Zone Planning;http://creativecommons.org/licenses/by-sa/4.0/;cc-by-sa;;;Module;student|teacher;2016-09-09T14:18:24
https://oercommons.org/courseware/lesson/10496/overview;Tell a Story and Add Immersive Planning;"<p>In this module we are going to look at an alternative way of thinking about environmental change.&nbsp; It is another tool to move the group toward alternative space planning.&nbsp; We are first going to explore the work of Doreen Massey, her thoughts on the multiplicity of space and how we are blinded by focusing on your single slice of time and function within a space.&nbsp; In what should appeal to all librarians, Massey talks about space as &ldquo;a story, a narrative&rdquo; that is continually being written.&nbsp;</p><p>We will also explore an &ldquo;Immersive Planning&rdquo; concept that Knoll Furniture has introduced into office and university space planning.&nbsp; The concept works equally as well in the school library environment but is currently not being leverage there.&nbsp; The process recognizes that space boundaries are becoming unclear because of the way users want to work.&nbsp; Defining a space with a single purpose has lost its functionality in today&rsquo;s world, or as Massey states space is a <em>&ldquo;multiplicity of trajectories&rdquo;</em>.</p>";"<p>Massey, Doreen. for space. Second ed. Thousand Oaks, CA: SAGE Publications Ltd 2015. Print.&nbsp;</p>";;graduate-professional;information-science;professional-development;en;Communal|Dimensional|Imersive Planning|Improvisational|Multiplicity of Trajectories;http://creativecommons.org/licenses/by-sa/4.0/;cc-by-sa;;;Module;student|teacher;2016-09-09T14:39:40
https://oercommons.org/courseware/lesson/10497/overview;Planning for Humans: User-Based Design;"<p><strong>Module 5 Planning for Humans, Users-based Design</strong></p><p>User based design is so logical and widely talked about today that it can be overlooked in designing alternative school library spaces.&nbsp; It is ultimately what this course is about. &nbsp;</p><p>We have discussed current solutions to the issue of what a school library should be, such as a Learning Commons.&nbsp; We have learned how to work around biases that can stifle creative, alternative solutions. We have looked at alternative tools to use when considering or planning space. &nbsp;Students have diagramed the trajectories that need to be considered in new library space,&nbsp;have overlaid those considerations with improvisational and dimensional elements. &nbsp; In this module we will bring all these pieces together and plan a space that will work in students&#39; individual&nbsp;school settings&nbsp;at this point in time based on the needs of their&nbsp;users. &nbsp;</p><p>However, those needs will not be fixed. Thinking you can design a space today for an extended period of time can not be your goal.&nbsp; Library space must have a multiplicity of trajectories.&nbsp; You must design for current user needs. Provide tools to build their base knowledge while watching down the road for the next information explosion, the tools it will require and decide how it will impact user needs.&nbsp; Leadership is really your goal.&nbsp; Adapting the space that users need to be successful is merely a an ongoing task.&nbsp;</p><p>&nbsp;</p>";<p>IDEO. Human Centered Design. Second ed. Palo Alto, CA. IDEO. 2011. Print</p>;;graduate-professional;information-science;professional-development;en;Desirability Design Concepts|Feasibility Design Concepts|Human-centered Design|User Based Design|Viability Design Concepts;http://creativecommons.org/licenses/by-sa/4.0/;cc-by-sa;;;Module;student|teacher;2016-09-09T15:06:07
https://oercommons.org/courseware/lesson/66683/overview;Introduction to Open Educational Resources and Practices;"<p>This&nbsp;Summer Institutute kick off webinar and reflection in group discussion covered the following:</p><ol><li>Connect and get to know each other</li><li>Discuss Institute Goals, Outcomes and Expectations</li><li>Open Educational Resources and Practices Overview</li></ol><ul class=""indent-1""><li>Explore the What and Why</li><li>Discover how Open Educational Resources and Practices can support our work</li></ul>";;;college-upper-division|graduate-professional;education;professional-development;en;;https://creativecommons.org/licenses/by-sa/4.0;cc-by-sa;;;Module;teacher;2020-05-12T14:22:23
https://oercommons.org/courseware/lesson/66684/overview;OER Discovery;"<p class=""o1"" style=""margin-top:9px; margin-bottom:7px; margin-left:104px; text-indent:-.5in""><span style=""font-size:12pt""><span style=""font-family:&quot;Times New Roman&quot;,serif"">The Summer Institute webinar and practice activities covered the following:</span></span></p><p class=""o1"" style=""margin-top:9px; margin-bottom:7px; margin-left:104px; text-indent:-.5in""><span style=""font-size:12pt""><span style=""font-family:&quot;Times New Roman&quot;,serif""><span style=""color:black"">- Explore the opportunity for OER to address our current needs / challenges / opportunities</span></span></span></p><p class=""o1"" style=""margin-top:9px; margin-bottom:7px; margin-left:104px; text-indent:-.5in""><span style=""font-size:12pt""><span style=""font-family:&quot;Times New Roman&quot;,serif""><span style=""color:black"">- Discover how to find OER that you can use in your work</span></span></span></p><p class=""o1"" style=""margin-top:9px; margin-bottom:7px; margin-left:104px; text-indent:-.5in""><span style=""font-size:12pt""><span style=""font-family:&quot;Times New Roman&quot;,serif""><span style=""color:black"">&ndash;Browse collections in the digital library and hubs</span></span></span></p><p class=""o1"" style=""margin-top:9px; margin-bottom:7px; margin-left:104px; text-indent:-.5in""><span style=""font-size:12pt""><span style=""font-family:&quot;Times New Roman&quot;,serif""><span style=""color:black"">&ndash;Utilize search, advanced search, refine search</span></span></span></p>";;;college-upper-division|graduate-professional;education;professional-development;en;;https://creativecommons.org/licenses/by-sa/4.0;cc-by-sa;;;Module;teacher;2020-05-12T14:22:23
https://oercommons.org/courseware/lesson/66685/overview;OER Collaboration and Curation;"<p>The Summer Institute webinar and practice activities covered the following:</p><p>1.Share what collaboration looks like in your work</p><p>2.Explore tools and workflows for collaboration and curation</p><p>&ndash;Create folders and subfolders</p><p>&ndash;Save resources to folders</p>";;;college-upper-division|graduate-professional;education;professional-development;en;;https://creativecommons.org/licenses/by-sa/4.0;cc-by-sa;;;Module;teacher;2020-05-12T14:22:23
https://oercommons.org/courseware/lesson/66686/overview;OER Quality Evaluation;"<p><span style=""font-size:12pt""><span style=""font-family:&quot;Times New Roman&quot;,serif""><span style=""font-size:11.0pt"">The Summer Institute session covered the following:</span></span></span></p><p style=""text-indent:-.5in""><span style=""font-size:12pt""><span style=""font-family:&quot;Times New Roman&quot;,serif""><span style=""font-size:11.0pt""><span style=""color:black"">1.Share what high-quality resources look like in your work</span></span></span></span></p><p style=""text-indent:-.5in""><span style=""font-size:12pt""><span style=""font-family:&quot;Times New Roman&quot;,serif""><span style=""font-size:11.0pt""><span style=""color:black"">2.Explore quality evaluation tools</span></span></span></span></p><p style=""text-indent:-.5in""><span style=""font-size:12pt""><span style=""font-family:&quot;Times New Roman&quot;,serif""><span style=""font-size:11.0pt""><span style=""color:black"">3.Determine your own quality evaluation criteria</span></span></span></span></p>";;;college-upper-division|graduate-professional;education;professional-development;en;;https://creativecommons.org/licenses/by-sa/4.0;cc-by-sa;;;Module;teacher;2020-05-12T14:22:23
https://oercommons.org/courseware/lesson/66687/overview;OER Design, Authoring and Remixing;"<p>The Summer Institute session covered the following:</p><p>1.Share any changes we made to our proposals&nbsp;</p><p>2.Explore designing and iterating for continuous improvement</p><p>&ndash;Share best practices and get inspiration from other educators</p><p>3.Get an overview of OER authoring tool, Open Author</p><p>&ndash;Discover how to edit, describe, and publish a resource</p>";;;college-upper-division|graduate-professional;education;professional-development;en;;https://creativecommons.org/licenses/by-sa/4.0;cc-by-sa;;;Module;teacher;2020-05-12T14:22:24
https://oercommons.org/courseware/lesson/66688/overview;OER Training Design and Planning;"<p style=""text-align:start; text-indent:0px; -webkit-text-stroke-width:0px""><span style=""font-size: medium;""><span style=""font-family:&quot;Times New Roman&quot;, serif""><span style=""color:#000000"">We shared the&nbsp;progress and next steps for our modules&nbsp;and discussed</span></span></span><span style=""font-size: medium;""><span style=""font-family:&quot;Times New Roman&quot;, serif""><span style=""color:#000000"">&nbsp;plans for trainings over two weeks.</span></span></span></p>";;;college-upper-division|graduate-professional;education;professional-development;en;BranchED;https://creativecommons.org/licenses/by-sa/4.0;cc-by-sa;;;Module;teacher;2020-05-12T14:22:24
