lom.general.title,lom.general.description,lom.general.keyword,lom.technical.location,valuespaces.discipline,valuespaces.learningResourceType
Folge 39: Merci! - Überblick über die verschiedenen Zeitstufen,"Die letzte Etappe unserer Sprachkursreise führt Sie nach Reims, in die Champagne. Mit einer Feier in einem Champagnerkeller endet unsere Serie. À votre santé Mesdames et Messieurs!",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-39-merci-ueberblick-ueber-die-verschiedenen-zeitstufen/51252,['Französisch'],['Video']
"Folge 38: La lecture - etwas ausleihen, eine Vermutung äußern","Etwa 100 Kilometer südwestlich von Paris liegt Chartres, ein kleines Städtchen mit einer berühmten Kathedrale. Schauplatz unserer Spielszene ist diesmal eine Bibliothek, in der eine Autorenlesung stattfindet.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-38-la-lecture-etwas-ausleihen-eine-vermutung-aeussern/51253,['Französisch'],['Video']
"#01 Folge 37: La visite officielle - Verständnis ausdrücken, etwas anbieten","Auch die 37. Folge unserer Sprachkursreise spielt in Paris. Schauplatz unserer Spielszene ist diesmal der Elysée-Palast, den die Pariser ""le château"" nennen. Hier erwartet man Staatsbesuch von der Elfenbeinküste.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-37-la-visite-officielle-verstaendnis-ausdruecken-etwas-anbieten/51259,['Französisch'],['Video']
"Folge 36: Les enquêtes de Magret - Verb ""disparaître"" (sich verlieren)","Endlich sind wir in Paris, das wir Ihnen zuerst in einem Chanson vorstellen. Unsere kleine Episode spielt dann im Café Mathieu. Dort hat Kommissar Magret einen ""Kriminalfall"" zu lösen.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-36-les-enqu-tes-de-magret-verb-dispara-tre-sich-verlieren/51254,['Französisch'],['Video']
"Folge 35: Un rendez-vous - einen Vorschlag machen, jemanden um etwas bitten","Nach einem Rundgang durch Amiens, die Hauptstadt der Picardie im Norden Frankreichs, steigen wir in den Zug nach Boulogne und begleiten Alain zu einem ""Rendez-vous"".",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-35-un-rendez-vous-einen-vorschlag-machen-jemanden-um-etwas-bitten/51255,['Französisch'],['Video']
"Folge 34: Le traducteur - Besonderheiten bei Verben auf ""-yer""",Rouen gilt als eine der schönsten Provinzmetropolen Frankreichs. In unserer Spielszene beobachten wir diesmal einen Übersetzer - un traducteur - und lernen dabei das Passiv im Französischen kennen.,,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-34-le-traducteur-besonderheiten-bei-verben-auf-yer/51256,['Französisch'],['Video']
"""Meine geniale Freundin"" (1/4) - Neapolitanische Saga von Elena Ferrante (Staffel 1)","·Literatur· Neapel, 1950er Jahre: Elena und Lila wachsen im Armeleuteviertel Rione auf. Die angepasste Elena und die furchtlose Lila werden Freundinnen, als sie beschließen, einem gefürchteten Schwarzhändler entgegen zu treten. // Von Elena Ferrante / Aus dem Italienischen von Karin Krieger / Mit Rosalie Thomass, Ann-Sophie Ruhbaum, Christiane Roßbach, Helena Schrei, Enea Boschen, Stefan Wilkening, Florian von Manteuffel u.a. / Komposition: Ulrike Haage / Bearbeitung und Regie: Martin Heindel / BR 2020 // Hier finden Sie eine Übersicht zu den handelnden Figuren: https://www.br.de/radio/bayern2/sendungen/hoerspiel-und-medienkunst/hoerspiel-elena-ferrante-meine-geniale-freundin-100.html",,https://www.br.de/mediathek/podcast/hoerspiel-pool/meine-geniale-freundin-1-4-neapolitanische-saga-von-elena-ferrante-staffel-1/1810865,['Deutsch'],['Audio']
"Folge 33: La vente aux enchères - Bedingungssatz (Typ III), Verb ""suffire""","Wir sind in Honfleur, das Fischerstädtchen, das im 19. Jahrhundert von Künstlern entdeckt wurde. Wo sich die Maler niederließen, ist auch die Kunstauktion nicht weit. Auf unserer Auktion gibt es nicht nur Bilder zu kaufen.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-33-la-vente-aux-ench-res-bedingungssatz-typ-iii-verb-suffire/51257,['Französisch'],['Video']
"""Meine geniale Freundin"" (2/4) - Neapolitanische Saga von Elena Ferrante (Staffel 1)","·Literatur· Alles verändert sich: Lila arbeitet in der Schusterei ihres Vaters, Elena geht weiter zur Schule. Die Solara-Brüder werden mit eigenen Unternehmen reich - wie Stefano Carracci, der Sohn des verstorbenen Schwarzhändlers. // Von Elena Ferrante / Aus dem Italienischen von Karin Krieger / Mit Rosalie Thomass, Ann-Sophie Ruhbaum, Christiane Roßbach, Helena Schrei, Enea Boschen,  Stefan Wilkening, Florian von Manteuffel u.a. / Komposition: Ulrike Haage / Bearbeitung und Regie: Martin Heindel / BR 2020 // Hier finden Sie eine Übersicht zu den handelnden Figuren: https://www.br.de/radio/bayern2/sendungen/hoerspiel-und-medienkunst/hoerspiel-elena-ferrante-meine-geniale-freundin-100.html",,https://www.br.de/mediathek/podcast/hoerspiel-pool/meine-geniale-freundin-2-4-neapolitanische-saga-von-elena-ferrante-staffel-1/1810866,['Deutsch'],['Audio']
"Folge 32: L'inventeur - Bedingungssätze (Typ I und II), Verb ""vivre"" (leben)","In Bayeux in der Normandie besichtigen wir den kostbaren Wandteppich. Dann geht es an die normannische Küste. In dem kleinen Ort Isigny-sur-Mer, heute ein wichtiges Zentrum für Milchprodukte, besuchen wir einen Erfinder.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-32-l-inventeur-bedingungssaetze-typ-i-und-ii-verb-vivre-leben/51258,['Französisch'],['Video']
"""Meine geniale Freundin"" (3/4) - Neapolitanische Saga von Elena Ferrante (Staffel 1)","·Literatur· Elena verbringt den Sommer auf Ischia. Lila hat zuhause Mühe, Marcello Solara und andere Verehrer abzuwehren. Sie und ihr Bruder haben einen Traum: Selbst Schuhe entwerfen und produzieren. Doch es gibt Widerstand. // Von Elena Ferrante / Aus dem Italienischen von Karin Krieger / Mit Rosalie Thomass, Ann-Sophie Ruhbaum, Christiane Roßbach, Helena Schrei, Enea Boschen,  Stefan Wilkening, Florian von Manteuffel u.a. / Komposition: Ulrike Haage / Bearbeitung und Regie: Martin Heindel / BR 2020 // Hier finden Sie eine Übersicht zu den handelnden Figuren: https://www.br.de/radio/bayern2/sendungen/hoerspiel-und-medienkunst/hoerspiel-elena-ferrante-meine-geniale-freundin-100.html",,https://www.br.de/mediathek/podcast/hoerspiel-pool/meine-geniale-freundin-3-4-neapolitanische-saga-von-elena-ferrante-staffel-1/1810857,['Deutsch'],['Audio']
"Folge 31: Il faut tout changer - Verb ""suivre"" (folgen), Ausdrücke mit ""faire""","Die 31. Folge unserer Sprachkursreise führt in die nördliche Bretagne, nach Perros-Guirec. In einem alten Fischerhaus funktioniert die Elektrizität nicht mehr, deshalb muss alles erneuert werden.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-31-il-faut-tout-changer-verb-suivre-folgen-ausdruecke-mit-faire/51260,['Französisch'],['Video']
"""Meine geniale Freundin"" (4/4) - Neapolitanische Saga von Elena Ferrante (Staffel 1)","·Literatur· Für ihren Traum heiratet Lila mit 16: Stefano hat versprochen, ihre Schuhe groß raus zu bringen. Die Hochzeit der beiden ist ein Ereignis für den ganzen Rione. Doch noch während der Feier begeht Stefano einen Verrat. // Von Elena Ferrante / Aus dem Italienischen von Karin Krieger / Mit Rosalie Thomass, Ann-Sophie Ruhbaum, Christiane Roßbach, Helena Schrei, Enea Boschen,  Stefan Wilkening, Florian von Manteuffel u.a. / Komposition: Ulrike Haage / Bearbeitung und Regie: Martin Heindel / BR 2020 // Hier finden Sie eine Übersicht zu den handelnden Figuren: https://www.br.de/radio/bayern2/sendungen/hoerspiel-und-medienkunst/hoerspiel-elena-ferrante-meine-geniale-freundin-100.html",,https://www.br.de/mediathek/podcast/hoerspiel-pool/meine-geniale-freundin-4-4-neapolitanische-saga-von-elena-ferrante-staffel-1/1810858,['Deutsch'],['Audio']
"Folge 30: Oscar et Julie - unbestimmte Pronomen, Verb ""recevoir"" (erhalten)","Die 30. Sendung von ""Bon Courage"" führt Sie in die Hauptstadt der Bretagne, nach Rennes. Dort statten wir dem Fundbüro - ""le bureau des objets trouvés""- einen Besuch ab. Was die Leute so alles verlieren ...!",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-30-oscar-et-julie-unbestimmte-pronomen-verb-recevoir-erhalten/51261,['Französisch'],['Video']
"""Burning Love"" von Fitzgerald Kusz  - Bayerischer Klassiker über das Ende einer Liebe","Bayerische Provinz, 80er Jahre: Frisch verliebt hängen Anschi und Andi ab - auf der Autobahnbrücke, in der Disco. Doch sie merken nicht, dass sie nur der Hass auf Eltern, Job und das Leben vereint - bis es fast zur Katastrophe kommt. // Mit Max Krückl und Christine Neubauer/ Regie: Götz Naleppa / RIAS Berlin/BR 1985// Aktuelle Hörspiel-Empfehlungen per Mail: www.hörspielpool.de/newsletter",,https://www.br.de/mediathek/podcast/hoerspiel-pool/burning-love-von-fitzgerald-kusz-bayerischer-klassiker-ueber-das-ende-einer-liebe-1/1810869,['Deutsch'],['Audio']
"Folge 29: Le costume - Demonstrativpronomen, Adverb (Bildung, Steigerung)",Auf einem Rundgang durch Nantes kommen wir zur Passage Pommeraye mit ihren schönen Geschäften. Ein Bekleidungsgeschäft ist diesmal Schauplatz unserer kleinen Episode. Alles dreht sich um einen Anzug.,,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-29-le-costume-demonstrativpronomen-adverb-bildung-steigerung/51262,['Französisch'],['Video']
"""Rattatatam, mein Herz"" - Hörspiel über das Leben mit der Angst von Franziska Seyboldt","Beim Arzt, im Job, am Tresen: In allen Lebenslagen kämpft Franziska Seyboldt mit ihrer Angststörung. Die Krankheit ist für sie wie eine nervige Mitbewohnerin im eigenen Leib. Von Panikattacken, Ausreden im Alltag und der großen Frage, wie man die Angst besiegt.

// Mit Pola O'Mara, Franz Pätzold, Christian Schneller, Julia Prochnow, Ulrike Arnold, Nora Bollmann, Vincent Redetzki, Anne Bolik Geraldine Raths/Bearbeitung und Regie: Elisabeth Weilenmann/ BR 2020 // Aktuelle Hörspiel-Empfehlungen per Mail: www.hörspielpool.de/newsletter

",,https://www.br.de/mediathek/podcast/hoerspiel-pool/rattatatam-mein-herz-hoerspiel-ueber-das-leben-mit-der-angst-von-franziska-seyboldt/1810492,['Deutsch'],['Audio']
"Folge 28: L'Avare - Possesivpronomen, Besitzverhältnisse klären","Nach einem Spaziergang durch Tours, die Stadt des heiligen Martin, beobachten wir unsere Schauspieler bei Theaterproben für ""L'Avare"" (der Geizige) - frei nach Molière.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-28-l-avare-possesivpronomen-besitzverhaeltnisse-klaeren/51263,['Französisch'],['Video']
"""das röcheln der mona lisa"" - Ein Sprachspiel von Ernst Jandl (1970)",Sprachspiel: Mit seiner Stimme und den akustischen Möglichkeiten des Hörfunks um 1970 rollt Ernst Jandl einen Teppich voll abgründigem Wortwitz auf.// Realisation: Ernst Jandl; BR/HR/NDR 1970 // Hörspiel-Empfehlungen: www.hörspielpool.de/newsletter,,https://www.br.de/mediathek/podcast/hoerspiel-pool/das-roecheln-der-mona-lisa-ein-sprachspiel-von-ernst-jandl-1970/31258,['Deutsch'],['Audio']
