title,location,discipline,learningResourceType
Bestimmung der Schallgeschwindigkeit,https://digitallearninglab.de/unterrichtsbausteine/bestimmung-der-schallgeschwindigkeit,,
Accelerometer Meter,https://digitallearninglab.de/tools/accelerometer-meter,['Informatik'],
CoachMe Football Edition,https://digitallearninglab.de/tools/coachme-football-edition,['Informatik'],
CoSpaces,https://digitallearninglab.de/tools/cospaces,['Informatik'],
Brieffreundschaft 2.0 - Teddy on Tour,https://digitallearninglab.de/unterrichtsbausteine/brieffreundschaft-20-teddy-on-tour,['Informatik'],
Die Ständeordnung des Mittelalters,https://digitallearninglab.de/unterrichtsbausteine/die-standeordnung-des-mittelalters,,
10 Würfel,https://digitallearninglab.de/tools/10-wurfel,['Informatik'],
Edkimo,https://digitallearninglab.de/tools/edkimo,"['Informatik', 'Ethik']",
eTwinning,https://digitallearninglab.de/tools/etwinning,['Informatik'],
Das kollaborative Glossar im Geschichtsunterricht,https://digitallearninglab.de/unterrichtsbausteine/das-kollaborative-glossar-im-geschichtsunterricht,"['Informatik', 'Geschichte']",['Glossar']
Hudl Technique,https://digitallearninglab.de/tools/hudl-technique,['Informatik'],
Fake News Check,https://digitallearninglab.de/tools/fake-news-check,['Informatik'],
ANTON,https://digitallearninglab.de/tools/anton,"['Informatik', 'Deutsch als Zweitsprache']",
IDeRBlog ii,https://digitallearninglab.de/tools/iderblog-ii,['Informatik'],
FotoCollagen,https://digitallearninglab.de/tools/fotocollagen,"['Informatik', 'Geschichte']",['Foto']
Keynote,https://digitallearninglab.de/tools/keynote,['Informatik'],
FeedbackSchule,https://digitallearninglab.de/tools/feedbackschule,['Informatik'],
Kreative Unterrichtsarbeit mit literarischen Texten,https://digitallearninglab.de/unterrichtsbausteine/kreative-unterrichtsarbeit-mit-literarischen-texte,['Informatik'],['Text']
Paint 3D,https://digitallearninglab.de/tools/paint-3d,['Informatik'],
GarageBand,https://digitallearninglab.de/tools/garageband,['Informatik'],
LearningApps - interaktive Übungen im Geschichtsunterricht,https://digitallearninglab.de/unterrichtsbausteine/learningapps-interaktive-ubungen-im-geschichtsunte,"['Informatik', 'Geschichte']",['Übung']
PocketTransit,https://digitallearninglab.de/tools/pockettransit,['Informatik'],
GeoGebra,https://digitallearninglab.de/tools/geogebra,['Informatik'],
Lebensgeschichten am Kriegsende 1945 – ein Hörfeature erstellen,https://digitallearninglab.de/unterrichtsbausteine/lebensgeschichten-am-kriegsende-1945-ein-horfeatur,"['Geschichte', 'Informatik']",
Hacer un vídeo tutorial,https://digitallearninglab.de/unterrichtsbausteine/hacer-un-video-tutorial,,
Snipping Tool,https://digitallearninglab.de/tools/snipping-tool,['Informatik'],['Werkzeug']
GeoGuessr,https://digitallearninglab.de/tools/geoguessr,['Informatik'],
Lichtbrechung an Grenzflächen mit PhET Animationen,https://digitallearninglab.de/unterrichtsbausteine/lichtbrechung-an-grenzflachen-mit-phet-animationen,['Informatik'],
Hamburgs Wetterdaten für Untersuchungen nutzen,https://digitallearninglab.de/unterrichtsbausteine/hamburgs-wetterdaten-fur-untersuchungen-nutzen,,['Daten']
Adobe Spark,https://digitallearninglab.de/tools/adobe-spark,['Informatik'],
