title,discipline,learningResourceType
Kollaboratives Arbeiten im Sportunterricht mit digitalen Medien zur Entwicklung eines Sportspiels.,"['Sport', 'Deutsch als Zweitsprache']",
Raus aus der Schule - rein ins ...(Museum?) - Projektarbeit während eines Schüleraustauschs.,"['Deutsch als Zweitsprache', 'Deutsch']",
Wie funktionieren Sprachnachrichten?,"['Medienbildung', 'Politik']",
"Panel Discussion ""Big Data""","['Deutsch', 'Berufliche Bildung']",['Daten']
Mit Höhenlinien eigene Inselwelten erstellen,"['Chemie', 'Deutsch']",
Programmatische Musik am PC entwerfen,"['Musik', 'Deutsch']",
Umfrage Medienverhalten und Auswertung Excel,['Deutsch als Zweitsprache'],
Würfelbauten perspektivisch zeichnen,['Kunst'],
Rapping Shakespeare,"['Deutsch als Zweitsprache', 'Musik']",
#MarchForOurLives,['Deutsch'],
Isotonische Getränke,"['Deutsch', 'Sport']",
Gesetze am zweiseitigen Hebel,['Deutsch'],
Geschwindigkeit eines Fußballs mit phyphox messen,"['Deutsch als Zweitsprache', 'Deutsch']",
Freier Fall,"['Deutsch als Zweitsprache', 'Gesundheit']",
Fadenpendel,"['Chemie', 'Politik']",
Rope Skipping Cards,"['Deutsch', 'Sport']",
Bettermarks,['Deutsch als Zweitsprache'],
DuckDuckGo,['Medienbildung'],
Dioptra,['Mathematik'],
correct.,"['Deutsch als Zweitsprache', 'Deutsch']",
Book Creator,['Deutsch'],
Auto Draw,"['Verkehrserziehung', 'Chemie']",
Tracker,"['Informatik', 'Physik']",
Adobe Spark,['Mathematik'],
Snipping Tool,['Deutsch'],['Werkzeug']
