title,location,discipline,learningResourceType
Blasen Bild,https://redaktion.openeduhub.net/edu-sharing/components/render/eaf3e299-03fe-4904-ae6c-b3d0f71d7573,['Physik'],['Bild']
hyperkulturell,https://www.hyperkulturell.de/,['Informatik'],
#toolbox,https://toolbox.edu.tum.de/index.php,"['Informatik', 'Medienbildung']",['Werkzeug']
ubiMaster,https://www.ubimaster.de/,"['Arbeitslehre', 'Physik']",
SPIEGEL Ed,www.spiegel-ed.de,"['Chemie', 'Medienbildung']",
KindOERgarten.de – Freies Material für das Kindergartenalter,https://kindoergarten.wordpress.com/,,
Hamsterkiste,https://www.hamsterkiste.de,"['Politik', 'Geschichte']",
Wortwuchs,https://wortwuchs.net/,,
The Observatory of Economic Complexity,https://oec.world/,"['Arbeitslehre', 'Deutsch']",
City Population,https://citypopulation.de/,['Mathematik'],
Water Footprint,https://waterfootprint.org/en/,['Informatik'],
Virtuelles Wasser,http://virtuelles-wasser.de/startseite_virtuelles_wasser.html,,
Food and Agriculture Organization of the United Nations,http://www.fao.org/faostat/en/#data/QC,"['Mathematik', 'Informatik']",
Magazin: LinuxUser,http://www.linux-user.de/Community-Edition,['Informatik'],
Free Software Directory,https://directory.fsf.org/wiki/Main_Page,,['Bild']
digitalcourage: Freie Software für Schulen,https://digitalcourage.de/blog/2020/freie-software-fuer-schulen,,['Bild']
dekoder,https://www.dekoder.org/,,
