title,location,discipline,learningResourceType
"Geschichte des Fahrrads | Quellenpaket B

",https://segu-geschichte.de/radfahrer-quellenpaket/,['Geschichte'],
"40 segu_Planer für den Geschichtsunterricht

",https://segu-geschichte.de/lernen-zu-hause/,"['Politik', 'Geschichte']",
"40 segu_Planer für das Lernen zu Hause

",https://segu-geschichte.de/segu-planer/,"['Politik', 'Geschichte']",
"Geschichte des Fahrrads | Quellenpaket A

",https://segu-geschichte.de/radfahrer-quellen/,['Geschichte'],
"Geschichte des Fahrrads | „ein Massenwahnsinn ohne Gleichen""

",https://segu-geschichte.de/radfahrer/,['Geschichte'],['Text']
"Spanische Grippe | Quellenpaket B

",https://segu-geschichte.de/spanische-grippe-quellenpaket/,"['Spanisch', 'Gesundheit']",
"Spanische Grippe | Quellenpaket A

",https://segu-geschichte.de/spanische-grippe-quellen/,"['Spanisch', 'Gesundheit']",
"Spanische Grippe 1918 | „… verschont kein Alter und keinen Stand""

",https://segu-geschichte.de/spanische-grippe/,"['Spanisch', 'Geschichte']",['Text']
"Newsletter

",https://segu-geschichte.de/newsletter-4/,['Informatik'],
"Ein Blick zurück in die Vergangenheit

",https://segu-geschichte.de/blick-in-die-vergangenheit/,"['Geschichte', 'Arbeitslehre']",
"Klimawandel und Wetterereignisse in der Vergangenheit | Digitale Zeitleiste

",https://segu-geschichte.de/klimageschichte/,,
"Synagogen | zerstört? - vergessen? | Spurensuche „vor Ort""

",https://segu-geschichte.de/synagogen/,"['Religion', 'Geschichte']",
"Weihnachtsfrieden 1914 | einen Werbespot hinterfragen

",https://segu-geschichte.de/weihnachtsfrieden/,"['Ethik', 'Geschichte']",
"Stolpersteine

",https://segu-geschichte.de/stolpersteine/,,
