lom.general.title,lom.general.description,lom.general.keyword,lom.technical.location,valuespaces.discipline,valuespaces.learningResourceType
Telegra.ph | Instant-Blogging,"Telegra.ph ist ein Blogging-Tool, mit dem man schnell und anonym Texte, Videos und Bilder veröffentlichen kann.  Wichtig ist, den Link abzuspeichern, um den eigenen Blog-Beitrag wiederzufinden. Eine Bearbeitung des Texts ist später nur möglich, wenn man die Cookies abspeichert.",,https://telegra.ph/,['Allgemein'],
Kialo Edu | Diskussionen,"Kialo Edu ist extra für den schulischen Einsatz angepasst. Es unterstützt Lehrende und Schüler:innen bei der strukturierten Führung und Visualisierung von Diskussionen, etwa druch die übersichtliche Darstellung der Pro- und Contra-Argumente.",,https://www.kialo-edu.com/,['Allgemein'],
EDpuzzle | Videobearbeitung,"Mit EDpuzzle können Lehrende Videos schneiden, mit interaktiven Fragen und Kommentaren versehen und dann mit der ganzen Klasse teilen und als Hausaufgaben aufgeben. Auch die Auswertung der Ergbnisse ist für den Lehrenden sichtbar. ",,https://edpuzzle.com,['Allgemein'],
Grundeinkommen macht Schule!,"Mit dem Unterrichtsmaterial auf ""Grundeinkommen macht Schule!"" kann die Idee Grundeinkommen entdeckt und ein eigenes Bild der Zukunftsgesellschaft entwickelt werden.",,https://www.grundeinkommen.schule/,"['Wirtschaftskunde', 'Wirtschaft und Verwaltung', 'Gesellschaftskunde', 'Sachunterricht']",
WeTransfer | Kostenloser Datenversand,"WeTransfer ermöglicht das einfache Teilen von Fotos, Filmen und Dokumenten, die etwa für E-Mail-Anhänge zu groß sind. In der kostenlosen Variante kannst du bis zu 2 GByte versenden. Nach Empfang des Links müssen die Daten innerhalb einer Woche heruntergeladen werden.",,https://wetransfer.com/,['Allgemein'],
mediasmart,"Media Smart e. V. bietet Medien- und Werbekompetenzförderung für Kinder.

Die multimedialen Unterrichtsmaterialien für die Vorschule, Grundschule und weiterführende Schule stehen kostenlos zum Download zur Verfügung. ","['Datenschutz', 'Unterrichtsideen']",https://www.mediasmart.de/,"['Deutsch', 'Gesellschaftskunde', 'Wirtschaftskunde', 'Wirtschaft und Verwaltung', 'Sachunterricht']",
Flipgrid | Video-Diskussion,"Schüler:innen können zu einer gestellten Aufgabe eine Videoantwort erstellen und hochladen. Es darf eine Länge von bis zu fünf Minuten haben. Zudem gibt es die Möglichkeit, Videos von Mitschüler:innen anzusehen und zu kommentieren.
",,https://info.flipgrid.com,['Allgemein'],
Mathekönig,Kostenloser Aufgaben-Konfigurator um individuelle Mathe-Arbeitsblätter zu erstellen sowie text- und videobasierte Lernihalte zur Mathematik.,"['Freizeitlernen', 'lerntools']",https://www.mathekoenig.com/,['Mathematik'],
ZUMPad | Kollaborationstool,"ZUMpad ist eine kollaborative Arbeitsfläche zum Texte schreiben und teilen. Wer ein ZUMpad erstellt, kann etwa ein halbes Jahr darauf zurückgreifen. ",,https://zumpad.zum.de/,['Allgemein'],
Baut Eure Zukunft,"Design Thinking basierte Toolboxen fördern Zukunftskompetenzen, während im Team Lösungsideen für gesellschaftliche Herausforderungen entwickelt werden.",['Unterrichtsideen'],https://www.baut-eure-zukunft.eu/toolbox/,"['Gesellschaftskunde', 'Sozialpädagogik', 'Allgemein']",
